Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.47,0.431,1.383,0.524
2,1.301,0.618,1.375,0.506
3,1.262,0.654,1.368,0.514
4,1.24,0.671,1.349,0.538
5,1.228,0.682,1.356,0.535
6,1.216,0.692,1.361,0.527
7,1.206,0.703,1.356,0.541
8,1.2,0.709,1.348,0.547
9,1.194,0.714,1.349,0.547
10,1.186,0.722,1.346,0.547
11,1.179,0.728,1.357,0.534
12,1.176,0.73,1.339,0.552
13,1.17,0.739,1.351,0.547
14,1.164,0.744,1.347,0.552
15,1.161,0.746,1.351,0.541
16,1.155,0.753,1.344,0.552
17,1.153,0.753,1.347,0.551
18,1.149,0.76,1.346,0.548
19,1.145,0.765,1.343,0.552
20,1.143,0.765,1.339,0.557
