Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.319,0.598,1.294,0.595
2,1.193,0.716,1.289,0.61
3,1.176,0.732,1.277,0.623
4,1.147,0.762,1.256,0.653
5,1.121,0.79,1.244,0.663
6,1.116,0.792,1.236,0.666
7,1.105,0.805,1.262,0.633
8,1.099,0.809,1.251,0.649
9,1.091,0.817,1.235,0.667
10,1.084,0.825,1.235,0.673
11,1.078,0.832,1.228,0.677
12,1.074,0.834,1.227,0.677
13,1.073,0.835,1.24,0.66
14,1.069,0.838,1.23,0.675
15,1.065,0.845,1.229,0.673
16,1.062,0.847,1.227,0.682
17,1.061,0.847,1.224,0.673
18,1.057,0.851,1.231,0.67
19,1.056,0.852,1.229,0.677
20,1.061,0.848,1.241,0.664
