Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.384,0.526,1.387,0.496
2,1.267,0.639,1.349,0.54
3,1.238,0.666,1.365,0.529
4,1.224,0.681,1.363,0.523
5,1.208,0.696,1.36,0.528
6,1.194,0.713,1.356,0.536
7,1.183,0.725,1.359,0.537
8,1.172,0.736,1.353,0.54
9,1.164,0.744,1.362,0.535
10,1.158,0.75,1.363,0.523
11,1.151,0.757,1.35,0.543
12,1.146,0.764,1.366,0.527
13,1.143,0.764,1.343,0.551
14,1.136,0.772,1.356,0.536
15,1.128,0.782,1.357,0.537
16,1.125,0.784,1.35,0.545
17,1.12,0.789,1.354,0.542
18,1.117,0.791,1.352,0.542
19,1.109,0.8,1.349,0.541
20,1.109,0.8,1.359,0.534
