Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.261,0.644,1.188,0.715
2,1.175,0.729,1.181,0.726
3,1.159,0.745,1.171,0.734
4,1.149,0.755,1.166,0.733
5,1.141,0.763,1.162,0.741
6,1.135,0.77,1.165,0.737
7,1.13,0.775,1.165,0.734
8,1.126,0.779,1.162,0.74
9,1.123,0.782,1.157,0.744
10,1.119,0.786,1.151,0.753
11,1.116,0.789,1.153,0.749
12,1.114,0.791,1.153,0.751
13,1.112,0.794,1.154,0.748
14,1.109,0.796,1.151,0.751
15,1.108,0.798,1.151,0.751
16,1.105,0.8,1.149,0.752
17,1.104,0.801,1.151,0.753
18,1.103,0.803,1.152,0.748
19,1.101,0.804,1.152,0.749
20,1.1,0.806,1.148,0.756
