Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.286,0.617,1.267,0.63
2,1.241,0.659,1.255,0.639
3,1.229,0.67,1.247,0.653
4,1.222,0.678,1.256,0.643
5,1.216,0.686,1.258,0.641
6,1.212,0.689,1.249,0.65
7,1.208,0.693,1.249,0.65
8,1.203,0.699,1.247,0.65
9,1.199,0.703,1.239,0.662
10,1.196,0.708,1.235,0.663
11,1.194,0.709,1.232,0.67
12,1.19,0.713,1.241,0.661
13,1.189,0.714,1.237,0.66
14,1.186,0.717,1.235,0.664
15,1.183,0.721,1.236,0.661
16,1.181,0.724,1.233,0.667
17,1.178,0.726,1.235,0.663
18,1.176,0.729,1.228,0.669
19,1.172,0.731,1.225,0.674
20,1.17,0.734,1.229,0.67
