Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.287,0.615,1.214,0.681
2,1.204,0.697,1.193,0.712
3,1.19,0.712,1.191,0.71
4,1.182,0.719,1.182,0.719
5,1.177,0.725,1.195,0.706
6,1.175,0.725,1.185,0.717
7,1.17,0.732,1.18,0.721
8,1.167,0.734,1.177,0.726
9,1.165,0.736,1.174,0.726
10,1.162,0.74,1.169,0.734
11,1.16,0.743,1.166,0.736
12,1.158,0.744,1.166,0.732
13,1.155,0.747,1.163,0.739
14,1.154,0.748,1.164,0.737
15,1.152,0.75,1.161,0.743
16,1.151,0.751,1.167,0.733
17,1.148,0.755,1.165,0.736
18,1.148,0.754,1.159,0.74
19,1.146,0.756,1.166,0.736
20,1.145,0.757,1.165,0.738
