Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.363,0.534,1.283,0.611
2,1.27,0.627,1.253,0.646
3,1.25,0.651,1.247,0.653
4,1.242,0.657,1.242,0.657
5,1.237,0.663,1.242,0.657
6,1.233,0.666,1.236,0.662
7,1.23,0.669,1.239,0.661
8,1.227,0.674,1.237,0.663
9,1.224,0.675,1.237,0.66
10,1.222,0.678,1.234,0.669
11,1.219,0.681,1.235,0.665
12,1.219,0.681,1.238,0.66
13,1.217,0.682,1.226,0.675
14,1.215,0.686,1.227,0.672
15,1.213,0.687,1.225,0.673
16,1.212,0.688,1.229,0.671
17,1.21,0.69,1.23,0.668
18,1.209,0.692,1.227,0.672
19,1.207,0.694,1.221,0.682
20,1.207,0.693,1.221,0.679
