Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.317,0.589,1.257,0.648
2,1.227,0.677,1.245,0.654
3,1.214,0.688,1.243,0.654
4,1.207,0.696,1.236,0.665
5,1.199,0.704,1.238,0.661
6,1.193,0.709,1.23,0.671
7,1.189,0.714,1.23,0.67
8,1.184,0.721,1.222,0.679
9,1.181,0.722,1.223,0.678
10,1.178,0.725,1.225,0.673
11,1.174,0.732,1.223,0.675
12,1.17,0.735,1.222,0.68
13,1.167,0.737,1.218,0.684
14,1.165,0.74,1.215,0.688
15,1.162,0.743,1.21,0.693
16,1.161,0.744,1.213,0.687
17,1.157,0.748,1.22,0.68
18,1.156,0.75,1.214,0.688
19,1.154,0.751,1.213,0.689
20,1.15,0.755,1.21,0.69
