Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.235,0.672,1.204,0.701
2,1.179,0.727,1.183,0.725
3,1.159,0.748,1.18,0.723
4,1.15,0.757,1.171,0.732
5,1.144,0.763,1.174,0.728
6,1.138,0.77,1.169,0.736
7,1.131,0.776,1.161,0.744
8,1.127,0.78,1.159,0.749
9,1.125,0.781,1.165,0.738
10,1.121,0.786,1.161,0.742
11,1.115,0.792,1.157,0.745
12,1.111,0.796,1.152,0.75
13,1.108,0.799,1.159,0.741
14,1.104,0.803,1.154,0.749
15,1.101,0.807,1.155,0.747
16,1.099,0.808,1.154,0.748
17,1.097,0.809,1.153,0.748
18,1.095,0.812,1.153,0.748
19,1.093,0.815,1.153,0.75
20,1.092,0.816,1.144,0.762
