Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.547,0.323,1.527,0.345
2,1.515,0.362,1.52,0.346
3,1.505,0.373,1.515,0.361
4,1.495,0.385,1.509,0.366
5,1.485,0.398,1.498,0.383
6,1.474,0.411,1.493,0.386
7,1.463,0.424,1.484,0.403
8,1.453,0.435,1.474,0.412
9,1.443,0.448,1.466,0.425
10,1.434,0.461,1.464,0.423
11,1.424,0.473,1.462,0.423
12,1.414,0.484,1.454,0.435
13,1.405,0.495,1.445,0.446
14,1.395,0.507,1.436,0.458
15,1.386,0.517,1.434,0.458
16,1.378,0.526,1.429,0.464
17,1.37,0.535,1.429,0.463
18,1.364,0.541,1.421,0.473
19,1.356,0.549,1.417,0.474
20,1.349,0.556,1.414,0.482
