Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.242,0.662,1.197,0.701
2,1.177,0.726,1.187,0.714
3,1.165,0.738,1.18,0.724
4,1.155,0.749,1.173,0.726
5,1.148,0.755,1.17,0.732
6,1.143,0.761,1.164,0.737
7,1.138,0.766,1.166,0.736
8,1.133,0.771,1.167,0.734
9,1.13,0.774,1.159,0.745
10,1.128,0.777,1.165,0.735
11,1.125,0.781,1.161,0.742
12,1.122,0.784,1.163,0.739
13,1.119,0.787,1.157,0.745
14,1.117,0.787,1.16,0.739
15,1.112,0.794,1.16,0.744
16,1.109,0.798,1.151,0.752
17,1.107,0.798,1.165,0.737
18,1.104,0.802,1.161,0.739
19,1.104,0.802,1.162,0.739
20,1.103,0.803,1.152,0.752
