Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.227,0.674,1.196,0.709
2,1.187,0.713,1.178,0.727
3,1.177,0.724,1.182,0.72
4,1.169,0.732,1.174,0.728
5,1.163,0.739,1.166,0.737
6,1.16,0.743,1.175,0.729
7,1.154,0.748,1.178,0.726
8,1.148,0.753,1.168,0.733
9,1.141,0.762,1.165,0.734
10,1.141,0.762,1.169,0.731
11,1.139,0.764,1.171,0.728
12,1.136,0.767,1.159,0.747
13,1.133,0.77,1.166,0.736
14,1.132,0.771,1.167,0.735
15,1.131,0.771,1.166,0.735
16,1.127,0.775,1.162,0.739
17,1.126,0.778,1.164,0.736
18,1.126,0.777,1.166,0.735
19,1.124,0.779,1.159,0.74
20,1.123,0.781,1.155,0.748
