Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.293,0.603,1.271,0.632
2,1.252,0.646,1.264,0.634
3,1.244,0.653,1.26,0.635
4,1.238,0.661,1.264,0.634
5,1.234,0.665,1.259,0.636
6,1.229,0.67,1.251,0.649
7,1.227,0.672,1.258,0.643
8,1.222,0.679,1.253,0.642
9,1.219,0.681,1.26,0.634
10,1.215,0.684,1.244,0.656
11,1.213,0.688,1.248,0.646
12,1.208,0.693,1.243,0.655
13,1.207,0.693,1.242,0.658
14,1.205,0.695,1.246,0.654
15,1.203,0.699,1.246,0.651
16,1.201,0.7,1.238,0.659
17,1.2,0.701,1.244,0.654
18,1.198,0.704,1.241,0.656
19,1.197,0.705,1.24,0.659
20,1.197,0.704,1.241,0.657
