Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.318,0.586,1.231,0.678
2,1.201,0.705,1.194,0.707
3,1.182,0.723,1.186,0.721
4,1.167,0.74,1.176,0.73
5,1.159,0.748,1.174,0.734
6,1.153,0.753,1.174,0.73
7,1.148,0.758,1.168,0.737
8,1.144,0.762,1.168,0.735
9,1.141,0.764,1.168,0.733
10,1.137,0.768,1.163,0.744
11,1.135,0.77,1.162,0.742
12,1.134,0.771,1.159,0.744
13,1.132,0.773,1.163,0.738
14,1.13,0.777,1.167,0.735
15,1.129,0.777,1.162,0.743
16,1.127,0.779,1.159,0.744
17,1.126,0.778,1.163,0.74
18,1.125,0.779,1.166,0.735
19,1.123,0.782,1.167,0.732
20,1.122,0.783,1.158,0.745
