Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.308,0.602,1.282,0.622
2,1.251,0.655,1.27,0.633
3,1.239,0.666,1.264,0.642
4,1.231,0.674,1.266,0.638
5,1.227,0.678,1.259,0.638
6,1.221,0.683,1.257,0.643
7,1.217,0.689,1.256,0.643
8,1.213,0.691,1.25,0.65
9,1.209,0.696,1.25,0.65
10,1.205,0.702,1.25,0.654
11,1.202,0.705,1.246,0.656
12,1.199,0.708,1.248,0.653
13,1.197,0.71,1.246,0.657
14,1.195,0.712,1.248,0.656
15,1.193,0.714,1.248,0.656
16,1.19,0.718,1.245,0.657
17,1.188,0.72,1.244,0.658
18,1.187,0.721,1.243,0.659
19,1.185,0.724,1.243,0.663
20,1.183,0.726,1.241,0.659
