Model,Hand,Hidden Size,Num Layers,Block Length,Future Length,Inputs,Accuracy
LSTM,right,16,1,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.671
LSTM,left,16,1,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.728
LSTM,right,16,2,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.676
LSTM,left,16,2,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.755
LSTM,right,16,3,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.686
LSTM,left,16,3,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.765
LSTM,right,32,1,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.69
LSTM,left,32,1,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.74
LSTM,right,32,2,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.691
LSTM,left,32,2,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.751
LSTM,right,32,3,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.685
LSTM,left,32,3,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.77
LSTM,right,64,1,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.687
LSTM,left,64,1,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.758
LSTM,right,64,2,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.706
LSTM,left,64,2,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.75
LSTM,right,64,3,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.706
LSTM,left,64,3,11,5,"fingers, intervals, chord_tonic, chord_sixth, chord_second_inversion",0.762
