Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.259,0.651,1.203,0.704
2,1.186,0.72,1.194,0.708
3,1.169,0.736,1.181,0.722
4,1.153,0.752,1.171,0.731
5,1.143,0.762,1.168,0.733
6,1.135,0.77,1.166,0.738
7,1.13,0.776,1.159,0.741
8,1.124,0.781,1.167,0.737
9,1.118,0.788,1.159,0.74
10,1.114,0.793,1.155,0.746
11,1.11,0.796,1.158,0.743
12,1.107,0.8,1.153,0.746
13,1.104,0.802,1.151,0.752
14,1.102,0.805,1.154,0.747
15,1.1,0.807,1.154,0.744
16,1.098,0.81,1.149,0.753
17,1.096,0.811,1.148,0.755
18,1.094,0.813,1.149,0.752
19,1.093,0.814,1.149,0.753
20,1.091,0.815,1.149,0.753
