Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.308,0.598,1.267,0.633
2,1.23,0.676,1.244,0.657
3,1.212,0.692,1.236,0.664
4,1.201,0.704,1.231,0.672
5,1.193,0.71,1.232,0.671
6,1.187,0.718,1.231,0.669
7,1.182,0.724,1.227,0.675
8,1.176,0.73,1.223,0.68
9,1.171,0.734,1.227,0.675
10,1.167,0.738,1.23,0.671
11,1.163,0.742,1.225,0.677
12,1.16,0.747,1.228,0.671
13,1.158,0.748,1.219,0.684
14,1.154,0.753,1.227,0.673
15,1.152,0.755,1.225,0.678
16,1.149,0.757,1.223,0.677
17,1.145,0.762,1.225,0.678
18,1.143,0.763,1.223,0.679
19,1.142,0.765,1.221,0.682
20,1.139,0.767,1.221,0.68
