Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.266,0.642,1.206,0.698
2,1.179,0.726,1.179,0.726
3,1.164,0.74,1.183,0.723
4,1.155,0.748,1.172,0.729
5,1.146,0.758,1.176,0.727
6,1.14,0.763,1.169,0.731
7,1.136,0.768,1.16,0.742
8,1.132,0.772,1.169,0.73
9,1.129,0.775,1.161,0.74
10,1.127,0.777,1.161,0.742
11,1.123,0.781,1.161,0.741
12,1.122,0.782,1.158,0.744
13,1.119,0.786,1.155,0.748
14,1.116,0.788,1.162,0.738
15,1.115,0.789,1.148,0.754
16,1.114,0.791,1.149,0.752
17,1.112,0.793,1.144,0.761
18,1.111,0.793,1.149,0.752
19,1.11,0.795,1.15,0.75
20,1.108,0.797,1.147,0.756
