Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.239,0.666,1.196,0.707
2,1.181,0.721,1.178,0.725
3,1.164,0.739,1.197,0.704
4,1.15,0.753,1.168,0.736
5,1.143,0.76,1.17,0.731
6,1.138,0.765,1.169,0.733
7,1.135,0.769,1.164,0.738
8,1.131,0.772,1.166,0.735
9,1.127,0.778,1.169,0.733
10,1.124,0.78,1.161,0.74
11,1.124,0.781,1.156,0.747
12,1.121,0.784,1.156,0.746
13,1.118,0.786,1.153,0.751
14,1.115,0.79,1.149,0.752
15,1.114,0.791,1.149,0.754
16,1.112,0.793,1.154,0.748
17,1.11,0.796,1.153,0.751
18,1.109,0.796,1.152,0.75
19,1.107,0.799,1.157,0.743
20,1.105,0.8,1.151,0.754
